Circumferential ensemble averaged static pressure coefficient and 
stator generated unsteady pressure coefficient

     R/R2    Teta(deg)    Cp        Cp'
    .66667    25.369    .02745    .01058
    .66667    26.011    .03183    .01059
    .66667    26.654    .03374    .01051
    .66667    27.297    .03645    .01018
    .66667    27.940    .04139    .01013
    .66667    28.583    .04616    .01087
    .66667    29.226    .04912    .01077
    .66667    29.869    .05424    .01017
    .66667    30.512    .05905    .01061
    .66667    31.154    .06233    .01079
    .66667    31.797    .06579    .01050
    .66667    32.440    .06985    .01043
    .66667    33.083    .07260    .01148
    .66667    33.726    .07492    .01227
    .66667    34.369    .07951    .01222
    .66667    35.012    .08392    .01269
    .66667    35.654    .08738    .01306
    .66667    36.297    .09222    .01318
    .66667    36.940    .09841    .01323
    .66667    37.583    .10377    .01366
    .66667    38.226    .10827    .01396
    .73810   -50.179    .25567    .02877
    .73810   -49.537    .26160    .02881
    .73810   -48.894    .26881    .02842
    .73810   -48.251    .27512    .02848
    .73810   -47.608    .28231    .02830
    .73810   -46.965    .28956    .02848
    .73810   -46.322    .29639    .02869
    .73810   -45.679    .30348    .02883
    .73810   -45.037    .31187    .02963
    .73810   -44.394    .32125    .03040
    .73810   -43.751    .33028    .03061
    .73810   -43.108    .34140    .03069
    .73810   -42.465    .35252    .03067
    .73810   -41.822    .36440    .03050
    .73810   -41.179    .37594    .02991
    .73810   -40.536    .38757    .02965
    .73810   -39.894    .39853    .02934
    .73810   -39.251    .40862    .02928
    .73810   -38.608    .41705    .02885
    .73810   -37.965    .42420    .02923
    .73810   -37.322    .43048    .02974
    .73810   -36.679    .43507    .03007
    .73810   -36.036    .43698    .03062
    .73810   -35.394    .43644    .03152
    .73810   -34.751    .43118    .03196
    .73810   -34.108    .41850    .03250
    .73810   -33.465    .39378    .03247
    .73810   -32.822    .35685    .03281
    .73810   -32.179    .31387    .03249
    .73810   -31.536    .27228    .03203
    .73810   -30.894    .24034    .03189
    .73810   -30.251    .21977    .03235
    .73810   -29.608    .20737    .03216
    .73810   -28.965    .19471    .03100
    .73810   -28.322    .17619    .02975
    .73810   -27.679    .16232    .02850
    .73810   -27.036    .15110    .02671
    .73810   -26.394    .12855    .02461
    .73810   -25.751    .11202    .02262
    .73810   -25.108    .09458    .02140
    .73810   -24.465    .07193    .02075
    .73810   -23.822    .04984    .02031
    .73810   -23.179    .03449    .01933
    .73810   -22.536    .02937    .01837
    .73810   -21.893    .03202    .01827
    .73810   -21.251    .03935    .01739
    .73810   -20.608    .05422    .01688
    .73810   -19.965    .07139    .01774
    .73810   -19.322    .08931    .01812
    .73810   -18.679    .10840    .01782
    .73810   -18.036    .12602    .01793
    .73810   -17.393    .14077    .01865
    .73810   -16.751    .15173    .01881
    .73810   -16.108    .16141    .01891
    .73810   -15.465    .16863    .01888
    .73810   -14.822    .17419    .01890
    .73810   -14.179    .17701    .01890
    .73810   -13.536    .17994    .01918
    .73810   -12.893    .18316    .01973
    .73810   -12.251    .18617    .02043
    .73810   -11.608    .18863    .02073
    .73810   -10.965    .19185    .02125
    .73810   -10.322    .19449    .02162
    .73810    -9.679    .19685    .02077
    .73810    -9.036    .19833    .02092
    .73810    -8.393    .19997    .02118
    .73810    -7.751    .20137    .02263
    .73810    -7.108    .20245    .02385
    .73810    -6.465    .20242    .02498
    .73810    -5.822    .20266    .02575
    .73810    -5.179    .20322    .02650
    .73810    -4.536    .20480    .02697
    .73810    -3.893    .20624    .02728
    .73810    -3.251    .20947    .02800
    .73810    -2.608    .21386    .02843
    .73810    -1.965    .21905    .02938
    .73810    -1.322    .22474    .02975
    .73810     -.679    .23097    .02944
    .73810     -.036    .23755    .02926
    .73810      .607    .24413    .02884
    .73810     1.250    .25072    .02815
    .73810     1.892    .25733    .02763
    .73810     2.535    .26431    .02734
    .73810     3.178    .27107    .02682
    .73810     3.821    .27705    .02659
    .73810     4.464    .28360    .02698
    .73810     5.107    .29101    .02731
    .73810     5.750    .29883    .02762
    .73810     6.392    .30716    .02835
    .73810     7.035    .31605    .02941
    .73810     7.678    .32583    .02958
    .73810     8.321    .33667    .02968
    .73810     8.964    .34812    .02956
    .73810     9.607    .35968    .02945
    .73810    10.250    .37232    .02937
    .73810    10.892    .38395    .02865
    .73810    11.535    .39600    .02859
    .73810    12.178    .40678    .02855
    .73810    12.821    .41638    .02871
    .73810    13.464    .42486    .02903
    .73810    14.107    .43189    .02930
    .73810    14.750    .43794    .02995
    .73810    15.392    .44352    .03060
    .73810    16.035    .44672    .03106
    .73810    16.678    .44710    .03148
    .73810    17.321    .44479    .03240
    .73810    17.964    .43831    .03245
    .73810    18.607    .42144    .03244
    .73810    19.250    .38953    .03183
    .73810    19.892    .34525    .03199
    .73810    20.535    .29633    .03156
    .73810    21.178    .25211    .03128
    .73810    21.821    .22224    .03228
    .73810    22.464    .20798    .03191
    .73810    23.107    .20195    .03071
    .73810    23.750    .18971    .02821
    .73810    24.393    .16291    .02637
    .73810    25.035    .14334    .02582
    .73810    25.678    .14284    .02409
    .73810    26.321    .13400    .02141
    .73810    26.964    .11502    .02012
    .73810    27.607    .09392    .01987
    .73810    28.250    .06987    .01988
    .73810    28.893    .04649    .01967
    .73810    29.535    .02895    .01905
    .73810    30.178    .02022    .01785
    .73810    30.821    .02092    .01797
    .73810    31.464    .02963    .01821
    .73810    32.107    .04143    .01767
    .73810    32.750    .05546    .01864
    .73810    33.393    .07245    .01987
    .73810    34.035    .09045    .02049
    .73810    34.678    .10832    .01974
    .73810    35.321    .12222    .01979
    .73810    35.964    .13171    .01990
    .73810    36.607    .14091    .01913
    .73810    37.250    .14760    .01926
    .73810    37.893    .15144    .01922
    .73810    38.535    .15354    .01963
    .73810    39.178    .15585    .02102
    .73810    39.821    .15789    .02150
    .73810    40.464    .15934    .02213
    .73810    41.107    .16132    .02275
    .73810    41.750    .16482    .02263
    .73810    42.393    .16818    .02244
    .73810    43.036    .17204    .02274
    .73810    43.678    .17447    .02338
    .73810    44.321    .17625    .02473
    .73810    44.964    .17836    .02498
    .73810    45.607    .17944    .02549
    .73810    46.250    .17923    .02606
    .73810    46.893    .17955    .02646
    .73810    47.536    .17989    .02748
    .73810    48.178    .18136    .02811
    .73810    48.821    .18378    .02856
    .73810    49.464    .18710    .02933
    .73810    50.107    .19203    .03006
    .73810    50.750    .19797    .02991
    .73810    51.393    .20495    .02943
    .73810    52.036    .21183    .02926
    .78571   -41.219    .31580    .03363
    .78571   -40.576    .32646    .03327
    .78571   -39.933    .33831    .03321
    .78571   -39.290    .34910    .03397
    .78571   -38.647    .36040    .03485
    .78571   -38.004    .37165    .03610
    .78571   -37.361    .38158    .03774
    .78571   -36.719    .38965    .03902
    .78571   -36.076    .39823    .03993
    .78571   -35.433    .40738    .04052
    .78571   -34.790    .41584    .04078
    .78571   -34.147    .42435    .04047
    .78571   -33.504    .43326    .03989
    .78571   -32.861    .44217    .03904
    .78571   -32.219    .45110    .03765
    .78571   -31.576    .45974    .03646
    .78571   -30.933    .46804    .03590
    .78571   -30.290    .47614    .03564
    .78571   -29.647    .48292    .03477
    .78571   -29.004    .48962    .03422
    .78571   -28.361    .49623    .03412
    .78571   -27.719    .50306    .03455
    .78571   -27.076    .50880    .03398
    .78571   -26.433    .51245    .03315
    .78571   -25.790    .51405    .03327
    .78571   -25.147    .51243    .03316
    .78571   -24.504    .50212    .03230
    .78571   -23.861    .47382    .03086
    .78571   -23.218    .42783    .03045
    .78571   -22.576    .37428    .03182
    .78571   -21.933    .32649    .03395
    .78571   -21.290    .29483    .03669
    .78571   -20.647    .27560    .03789
    .78571   -20.004    .26209    .03712
    .78571   -19.361    .24692    .03583
    .78571   -18.718    .22282    .03475
    .78571   -18.076    .20621    .03260
    .78571   -17.433    .20365    .03041
    .78571   -16.790    .19580    .02840
    .78571   -16.147    .18021    .02671
    .78571   -15.504    .16087    .02821
    .78571   -14.861    .13591    .03000
    .78571   -14.218    .11445    .02972
    .78571   -13.576    .10054    .02697
    .78571   -12.933    .09691    .02622
    .78571   -12.290    .09814    .02617
    .78571   -11.647    .10163    .02694
    .78571   -11.004    .10857    .02598
    .78571   -10.361    .12245    .02410
    .78571    -9.718    .13527    .02421
    .78571    -9.076    .14231    .02532
    .78571    -8.433    .15047    .02643
    .78571    -7.790    .15894    .02604
    .78571    -7.147    .16790    .02575
    .78571    -6.504    .17756    .02515
    .78571    -5.861    .18464    .02462
    .78571    -5.218    .18789    .02390
    .78571    -4.576    .19083    .02361
    .78571    -3.933    .19309    .02384
    .78571    -3.290    .19436    .02352
    .78571    -2.647    .19545    .02356
    .78571    -2.004    .19813    .02348
    .78571    -1.361    .20253    .02292
    .78571     -.718    .20584    .02199
    .78571     -.075    .21015    .02277
    .78571      .567    .21438    .02346
    .78571     1.210    .21875    .02453
    .78571     1.853    .22380    .02595
    .78571     2.496    .22802    .02652
    .78571     3.139    .23178    .02725
    .78571     3.782    .23637    .02789
    .78571     4.425    .24138    .02922
    .78571     5.067    .24694    .02978
    .78571     5.710    .25279    .03104
    .78571     6.353    .26063    .03230
    .78571     6.996    .26874    .03377
    .78571     7.639    .27787    .03421
    .78571     8.282    .28695    .03456
    .78571     8.925    .29810    .03426
    .78571     9.567    .30906    .03379
    .78571    10.210    .32050    .03291
    .78571    10.853    .33149    .03303
    .78571    11.496    .34339    .03290
    .78571    12.139    .35461    .03343
    .78571    12.782    .36477    .03458
    .78571    13.425    .37457    .03532
    .78571    14.067    .38427    .03652
    .78571    14.710    .39337    .03778
    .78571    15.353    .40233    .03906
    .78571    15.996    .41073    .04010
    .78571    16.639    .41898    .04010
    .78571    17.282    .42735    .04006
    .78571    17.925    .43540    .03927
    .78571    18.567    .44374    .03854
    .78571    19.210    .45239    .03753
    .78571    19.853    .46044    .03619
    .78571    20.496    .46895    .03532
    .78571    21.139    .47605    .03464
    .78571    21.782    .48362    .03403
    .78571    22.425    .49015    .03343
    .78571    23.068    .49687    .03309
    .78571    23.710    .50358    .03277
    .78571    24.353    .51049    .03333
    .78571    24.996    .51691    .03282
    .78571    25.639    .52234    .03288
    .78571    26.282    .52629    .03354
    .78571    26.925    .52896    .03469
    .78571    27.568    .52832    .03511
    .78571    28.210    .52058    .03560
    .78571    28.853    .49686    .03508
    .78571    29.496    .45299    .03626
    .78571    30.139    .39752    .03791
    .78571    30.782    .34288    .03868
    .78571    31.425    .30156    .03907
    .78571    32.068    .27581    .03958
    .78571    32.710    .25875    .03830
    .78571    33.353    .24273    .03692
    .78571    33.996    .21533    .03645
    .78571    34.639    .18834    .03237
    .78571    35.282    .18062    .02805
    .78571    35.925    .17543    .02676
    .78571    36.568    .15650    .02630
    .78571    37.210    .13179    .02777
    .78571    37.853    .10491    .02928
    .78571    38.496    .08133    .02859
    .78571    39.139    .07076    .02604
    .78571    39.782    .06420    .02423
    .78571    40.425    .06552    .02498
    .78571    41.068    .06512    .02576
