     Yi/Gi      Z/B      Cr/U2     Cu/U2  
    .89009    .10000    .14923    .31828
    .90601    .10000    .15032    .32291
    .93784    .10000    .15006    .33045
    .96967    .10000    .15128    .33558
   1.00150    .10000    .15685    .33708
   1.01742    .10000    .16082    .33619
   1.03333    .10000    .16509    .33532
   1.09782    .10000    .17917    .32186
   1.13443    .10000    .18289    .28728
   1.17103    .10000    .14499    .22830
   1.20286    .10000    .06871    .27604
   1.21878    .10000    .06196    .31167
   1.23470    .10000    .06620    .34024
   1.25061    .10000    .07317    .36049
   1.26653    .10000    .06866    .38416
   1.29836    .10000    .00648    .52407
   1.33019    .10000    .02063    .61309
   1.34610    .10000    .02696    .63940
   1.35406    .10000    .03162    .62380
   1.36202    .10000    .02599    .62528
   1.36998    .10000    .01573    .61654
   1.37412    .10000    .01961    .61520
   1.37793    .10000    .02485    .61308
   1.38207    .10000    .03306    .60610
   1.38589    .10000    .04096    .59886
   1.39385    .10000    .05979    .59321
   1.40977    .10000    .10383    .55941
   1.42568    .10000    .14834    .51790
   1.44160    .10000    .17575    .50187
   1.45751    .10000    .18647    .50137
   1.47343    .10000    .16167    .48379
   1.48934    .10000    .14261    .45564
   1.52117    .10000    .17258    .38534
   1.55300    .10000    .19949    .34176
   1.58484    .10000    .20388    .34775
   1.60075    .10000    .20308    .35412
   1.61667    .10000    .20156    .35936
   1.68116    .10000    .16460    .36247
   1.71776    .10000    .16036    .35118
   1.75437    .10000    .15832    .34957
   1.78620    .10000    .15040    .36302
   1.80211    .10000    .14748    .36794
   1.81803    .10000    .14373    .37261
   1.83394    .10000    .14279    .37313
   1.84986    .10000    .14150    .37374
   1.88169    .10000    .13954    .37388
   1.91352    .10000    .13211    .37503
   1.92944    .10000    .12361    .37850
   1.93739    .10000    .12061    .37735
   1.94535    .10000    .11259    .37695
   1.95331    .10000    .10699    .37122
   1.95745    .10000    .10259    .36814
   1.96127    .10000    .09812    .36572
   1.96541    .10000    .09787    .36208
   1.96923    .10000    .09753    .35852
   1.97718    .10000    .09510    .34818
    .00437    .15000    .14302    .34539
    .03620    .15000    .14345    .34161
    .05211    .15000    .14426    .33743
    .06803    .15000    .14563    .33177
    .08394    .15000    .14801    .32293
    .09986    .15000    .15061    .31041
    .13169    .15000    .15327    .26023
    .16352    .15000    .10347    .18488
    .17944    .15000    .06010    .20037
    .18740    .15000    .04608    .21003
    .19535    .15000    .02825    .21879
    .20331    .15000    .03517    .23386
    .20745    .15000    .03631    .23920
    .21127    .15000    .03753    .24369
    .21541    .15000    .03133    .24244
    .21923    .15000    .02494    .24030
    .22718    .15000    .03918    .23735
    .24310    .15000    .02345    .25818
    .25901    .15000    .01499    .30463
    .27493    .15000   -.00012    .34954
    .29085    .15000   -.02382    .44292
    .30676    .15000    .01698    .50728
    .32268    .15000    .06711    .55589
    .35451    .15000    .08836    .56697
    .38634    .15000    .06464    .54273
    .41817    .15000    .07694    .49386
    .43408    .15000    .10437    .45820
    .45000    .15000    .14342    .41581
    .51449    .15000    .19154    .36267
    .55110    .15000    .17439    .37299
    .58770    .15000    .15799    .37110
    .61953    .15000    .15677    .35872
    .63545    .15000    .15787    .35293
    .65136    .15000    .16097    .34881
    .66728    .15000    .16038    .35386
    .68319    .15000    .15680    .36093
    .71502    .15000    .14308    .37536
    .74686    .15000    .12376    .37963
    .76277    .15000    .11493    .37753
    .77073    .15000    .10164    .38682
    .77869    .15000    .09558    .38187
    .78664    .15000    .09106    .37000
