     R/R2    Teta(deg)    Cp    
    .73810    43.088    .20183
    .73810    43.907    .20391
    .73810    44.316    .20740
    .73810    44.725    .20837
    .73810    45.134    .21009
    .73810    45.347    .21122
    .73810    45.544    .21207
    .73810    45.757    .21089
    .73810    45.953    .20986
    .73810    46.362    .21037
    .73810    47.181    .21480
    .73810    47.999    .21907
    .73810    48.818    .22023
    .73810    49.637    .22548
    .73810    50.455    .23551
    .73810    51.274    .24722
    .78571   -39.589    .34581
    .78571   -37.952    .37189
    .78571   -37.133    .38365
    .78571   -36.724    .38750
    .78571   -36.315    .39134
    .78571   -35.905    .39589
    .78571   -35.693    .39874
    .78571   -35.496    .40104
    .78571   -35.283    .40437
    .78571   -35.087    .40759
    .78571   -34.678    .41355
    .78571   -33.859    .42352
    .78571   -33.041    .44009
    .78571   -32.222    .44657
    .78571   -31.403    .46588
    .78571   -30.585    .47404
    .78571   -29.766    .48365
    .78571   -28.129    .48490
    .78571   -26.492    .49596
    .78571   -24.855    .48841
    .78571   -24.037    .46331
    .78571   -23.218    .40308
    .78571   -19.902    .20956
    .78571   -18.020    .16560
    .78571   -16.137    .14139
    .78571   -14.500    .08516
    .78571   -13.681    .06541
    .78571   -12.863    .05600
    .78571   -12.044    .06102
    .78571   -11.226    .06786
    .78571    -9.589    .09717
    .78571    -7.952    .11752
    .78571    -7.133    .12900
    .78571    -6.724    .13613
    .78571    -6.314    .13666
    .78571    -5.905    .14331
    .78571    -5.692    .14550
    .78571    -5.496    .14651
    .78571    -5.283    .14512
    .78571    -5.087    .14416
    .78571    -4.677    .14810
    .78571    -3.859    .15348
    .78571    -3.040    .15486
    .78571    -2.222    .15700
    .78571    -1.403    .16675
    .78571     -.585    .17352
    .78571      .234    .17743
    .78571     1.871    .18719
    .78571     3.508    .18443
    .78571     5.145    .20938
    .78571     5.963    .22192
    .78571     6.782    .23442
    .78571    10.098    .26820
    .78571    11.981    .30888
    .78571    13.863    .32984
    .78571    15.500    .35507
    .78571    16.319    .36430
    .78571    17.138    .37297
    .78571    17.956    .38738
    .78571    18.775    .39989
    .78571    20.412    .42396
    .78571    22.049    .44825
    .78571    22.867    .45696
    .78571    23.276    .46730
    .78571    23.686    .47047
    .78571    24.095    .47842
    .78571    24.308    .48064
    .78571    24.504    .48209
    .78571    24.717    .48472
    .78571    24.913    .48761
    .78571    25.323    .49049
    .78571    26.142    .50013
    .78571    26.960    .50763
    .78571    27.779    .50699
    .78571    28.597    .49814
    .78571    29.416    .45665
    .78571    30.234    .39624
    .78571    31.871    .29350
    .78571    33.508    .24365
    .78571    35.145    .18704
    .78571    35.963    .18213
    .78571    36.782    .16319
    .78571    40.099    .09219
    .78571    41.981    .10534
    .78571    43.864    .14069
    .78571    45.501    .16079
    .78571    46.319    .17189
    .78571    47.138    .18229
    .78571    47.956    .18561
    .78571    48.775    .18910
    .78571    50.412    .19619
    .78571    52.049    .21338
